us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR
21343675,3085.9,2673.6,1.1542,1092.1,0.061,-1.508,,-0.0002882859797,-0.0002818796246,,,,,,-0.0005924739792,-0.00000000286627954,5759.5
21374894,3076.9,2664.8,1.1547,1092.9,0.015,-1.477,,-0.0002820693634,-0.0002019360215,,,,,,-0.0005701656043,0.0000000007144395486,5741.7
21406092,3068.1,2658.5,1.1541,1091.4,-0.02,-1.122,,-0.000256204964,-0.000128102482,,,,,,-0.000484005385,0.000000002759864804,5726.6
21437317,3060.1,2654.5,1.1528,1088.6,-0.04,-0.637,,-0.0002176766222,-0.00008643042351,,,,,,-0.000384307446,0.000000003195651612,5714.6
21468556,3053.3,2651.8,1.1514,1086,-0.044,-0.128,,-0.0001729383507,-0.00007686148919,,,,,,-0.0003041070457,0.000000002568467583,5705.1
21499781,3047.9,2649.4,1.1504,1085.3,-0.032,0.376,,-0.0001185441497,-0.00008650519031,,,,,,-0.0002497998399,0.000000001738442518,5697.3
21530993,3044.2,2646.7,1.1502,1086.8,-0.008,0.774,,-0.00006401024164,-0.0001024163866,,,,,,-0.00020504934,0.000000001433162526,5690.9
21562238,3042.2,2643.5,1.1508,1089.7,0.02,0.904,,-0.00000320256205,-0.00009287429944,,,,,,-0.0001664266283,0.000000001237431492,5685.7
21593463,3042.1,2640.6,1.1521,1092.4,0.041,0.662,,0.00004487323312,-0.00005769415686,,,,,,-0.00009607686149,0.000000002251552785,5682.7
21624662,3043.5,2638.8,1.1534,1093.3,0.042,0.045,,0.00005764611689,0.000009607686149,,,,,,-0.00001282092375,0.000000002666323066,5682.3
